2018-10-25 12:59:40,561 [Worker-26: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:59:40,562 [Worker-26: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/main/resources
2018-10-25 12:59:40,563 [Worker-26: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:59:40,564 [Worker-26: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/test/resources
2018-10-25 12:59:56,239 [Worker-26: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:59:56,240 [Worker-26: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/main/resources
2018-10-25 12:59:56,241 [Worker-26: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:59:56,242 [Worker-26: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/test/resources
2018-10-25 12:59:59,537 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:59:59,538 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/main/resources
2018-10-25 12:59:59,539 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:59:59,539 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/test/resources
2018-10-25 13:00:05,366 [Worker-27: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 13:00:05,367 [Worker-27: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/main/resources
2018-10-25 13:00:05,370 [Worker-27: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 13:00:05,370 [Worker-27: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/test/resources
2018-10-25 13:00:57,324 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 13:00:57,325 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/main/resources
2018-10-25 13:00:57,327 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 13:00:57,328 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/test/resources
2018-10-25 13:01:02,081 [Worker-21: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 13:01:02,082 [Worker-21: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/main/resources
2018-10-25 13:01:02,084 [Worker-21: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 13:01:02,085 [Worker-21: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alliancehealer/Desktop/IntProg/IntProgHomeworks/BullsAndCows/jersey-rest-homework/src/test/resources
2018-10-25 13:01:04,824 [Worker-21: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
